Month,Time,Block,Scalar
1,00:00:00,26.61,1.17
1,01:00:00,26.61,0.92
1,02:00:00,26.61,0.92
1,03:00:00,26.61,0.94
1,04:00:00,26.61,0.97
1,05:00:00,26.61,1.06
1,06:00:00,32.76,1.44
1,07:00:00,32.76,1.73
1,08:00:00,32.76,1.21
1,09:00:00,32.76,0.94
1,10:00:00,32.76,0.91
1,11:00:00,32.76,0.84
1,12:00:00,32.76,0.79
1,13:00:00,32.76,0.73
1,14:00:00,32.76,0.66
1,15:00:00,32.76,0.65
1,16:00:00,32.76,0.72
1,17:00:00,32.76,1.25
1,18:00:00,32.76,1.16
1,19:00:00,32.76,1.04
1,20:00:00,32.76,1.0
1,21:00:00,32.76,0.92
1,22:00:00,26.61,1.03
1,23:00:00,26.61,0.98
2,00:00:00,32.22,0.87
2,01:00:00,32.22,0.69
2,02:00:00,32.22,0.79
2,03:00:00,32.22,0.75
2,04:00:00,32.22,0.95
2,05:00:00,32.22,1.04
2,06:00:00,55.97,1.65
2,07:00:00,55.97,2.15
2,08:00:00,55.97,2.45
2,09:00:00,55.97,2.61
2,10:00:00,55.97,1.18
2,11:00:00,55.97,0.52
2,12:00:00,55.97,0.48
2,13:00:00,55.97,0.43
2,14:00:00,55.97,0.39
2,15:00:00,55.97,0.38
2,16:00:00,55.97,0.38
2,17:00:00,55.97,0.54
2,18:00:00,55.97,0.81
2,19:00:00,55.97,0.67
2,20:00:00,55.97,0.63
2,21:00:00,55.97,0.73
2,22:00:00,32.22,0.94
2,23:00:00,32.22,1.97
3,00:00:00,26.8,1.28
3,01:00:00,26.8,0.9
3,02:00:00,26.8,0.82
3,03:00:00,26.8,0.8
3,04:00:00,26.8,0.83
3,05:00:00,26.8,0.91
3,06:00:00,36.07,1.33
3,07:00:00,36.07,1.17
3,08:00:00,36.07,0.79
3,09:00:00,36.07,0.75
3,10:00:00,36.07,0.69
3,11:00:00,36.07,0.7
3,12:00:00,36.07,0.76
3,13:00:00,36.07,0.77
3,14:00:00,36.07,0.76
3,15:00:00,36.07,0.72
3,16:00:00,36.07,0.71
3,17:00:00,36.07,0.78
3,18:00:00,36.07,1.51
3,19:00:00,36.07,2.17
3,20:00:00,36.07,1.43
3,21:00:00,36.07,0.96
3,22:00:00,26.8,1.35
3,23:00:00,26.8,1.11
4,00:00:00,35.33,1.08
4,01:00:00,35.33,0.9
4,02:00:00,35.33,0.86
4,03:00:00,35.33,0.81
4,04:00:00,35.33,0.85
4,05:00:00,35.33,0.96
4,06:00:00,55.69,0.89
4,07:00:00,55.69,0.78
4,08:00:00,55.69,0.72
4,09:00:00,55.69,0.64
4,10:00:00,55.69,0.66
4,11:00:00,55.69,0.62
4,12:00:00,55.69,1.26
4,13:00:00,55.69,0.95
4,14:00:00,55.69,1.05
4,15:00:00,55.69,1.0
4,16:00:00,55.69,0.95
4,17:00:00,55.69,0.91
4,18:00:00,55.69,0.86
4,19:00:00,55.69,1.74
4,20:00:00,55.69,1.87
4,21:00:00,55.69,1.09
4,22:00:00,35.33,1.34
4,23:00:00,35.33,1.19
5,00:00:00,46.29,1.22
5,01:00:00,46.29,0.99
5,02:00:00,46.29,0.84
5,03:00:00,46.29,0.75
5,04:00:00,46.29,0.74
5,05:00:00,46.29,0.86
5,06:00:00,90.98,0.53
5,07:00:00,90.98,0.56
5,08:00:00,90.98,0.54
5,09:00:00,90.98,0.54
5,10:00:00,90.98,0.51
5,11:00:00,90.98,0.61
5,12:00:00,90.98,0.64
5,13:00:00,90.98,0.76
5,14:00:00,90.98,1.55
5,15:00:00,90.98,1.81
5,16:00:00,90.98,2.59
5,17:00:00,90.98,1.65
5,18:00:00,90.98,0.83
5,19:00:00,90.98,0.89
5,20:00:00,90.98,1.14
5,21:00:00,90.98,0.83
5,22:00:00,46.29,1.37
5,23:00:00,46.29,1.22
6,00:00:00,52.1,1.07
6,01:00:00,52.1,1.0
6,02:00:00,52.1,0.89
6,03:00:00,52.1,0.86
6,04:00:00,52.1,0.87
6,05:00:00,52.1,0.9
6,06:00:00,69.75,0.68
6,07:00:00,69.75,0.67
6,08:00:00,69.75,0.67
6,09:00:00,69.75,0.67
6,10:00:00,69.75,0.74
6,11:00:00,69.75,0.85
6,12:00:00,69.75,1.0
6,13:00:00,69.75,1.13
6,14:00:00,69.75,1.25
6,15:00:00,69.75,1.21
6,16:00:00,69.75,1.25
6,17:00:00,69.75,1.19
6,18:00:00,69.75,1.18
6,19:00:00,69.75,1.2
6,20:00:00,69.75,1.26
6,21:00:00,69.75,1.05
6,22:00:00,52.1,1.28
6,23:00:00,52.1,1.13
7,00:00:00,52.97,1.05
7,01:00:00,52.97,0.97
7,02:00:00,52.97,0.92
7,03:00:00,52.97,0.87
7,04:00:00,52.97,0.85
7,05:00:00,52.97,0.89
7,06:00:00,193.47,0.25
7,07:00:00,193.47,0.25
7,08:00:00,193.47,0.25
7,09:00:00,193.47,0.24
7,10:00:00,193.47,0.31
7,11:00:00,193.47,0.4
7,12:00:00,193.47,0.62
7,13:00:00,193.47,0.91
7,14:00:00,193.47,1.51
7,15:00:00,193.47,2.36
7,16:00:00,193.47,2.59
7,17:00:00,193.47,2.39
7,18:00:00,193.47,1.74
7,19:00:00,193.47,1.0
7,20:00:00,193.47,0.78
7,21:00:00,193.47,0.4
7,22:00:00,52.97,1.31
7,23:00:00,52.97,1.15
8,00:00:00,65.12,1.05
8,01:00:00,65.12,0.98
8,02:00:00,65.12,0.91
8,03:00:00,65.12,0.89
8,04:00:00,65.12,0.9
8,05:00:00,65.12,0.98
8,06:00:00,102.22,0.68
8,07:00:00,102.22,0.67
8,08:00:00,102.22,0.67
8,09:00:00,102.22,0.65
8,10:00:00,102.22,0.74
8,11:00:00,102.22,0.85
8,12:00:00,102.22,0.95
8,13:00:00,102.22,1.22
8,14:00:00,102.22,1.38
8,15:00:00,102.22,1.31
8,16:00:00,102.22,1.3
8,17:00:00,102.22,1.11
8,18:00:00,102.22,0.97
8,19:00:00,102.22,1.34
8,20:00:00,102.22,1.35
8,21:00:00,102.22,0.81
8,22:00:00,65.12,1.19
8,23:00:00,65.12,1.11
9,00:00:00,50.54,1.05
9,01:00:00,50.54,0.97
9,02:00:00,50.54,0.92
9,03:00:00,50.54,0.89
9,04:00:00,50.54,0.92
9,05:00:00,50.54,1.0
9,06:00:00,70.61,0.78
9,07:00:00,70.61,0.78
9,08:00:00,70.61,0.73
9,09:00:00,70.61,0.7
9,10:00:00,70.61,0.74
9,11:00:00,70.61,0.82
9,12:00:00,70.61,0.91
9,13:00:00,70.61,1.06
9,14:00:00,70.61,1.1
9,15:00:00,70.61,1.17
9,16:00:00,70.61,1.15
9,17:00:00,70.61,1.13
9,18:00:00,70.61,1.4
9,19:00:00,70.61,1.59
9,20:00:00,70.61,1.03
9,21:00:00,70.61,0.91
9,22:00:00,50.54,1.19
9,23:00:00,50.54,1.07
10,00:00:00,36.62,1.06
10,01:00:00,36.62,0.92
10,02:00:00,36.62,0.88
10,03:00:00,36.62,0.89
10,04:00:00,36.62,0.91
10,05:00:00,36.62,1.04
10,06:00:00,54.66,0.82
10,07:00:00,54.66,0.87
10,08:00:00,54.66,0.81
10,09:00:00,54.66,0.72
10,10:00:00,54.66,0.72
10,11:00:00,54.66,0.79
10,12:00:00,54.66,0.71
10,13:00:00,54.66,0.77
10,14:00:00,54.66,0.84
10,15:00:00,54.66,0.9
10,16:00:00,54.66,1.06
10,17:00:00,54.66,1.22
10,18:00:00,54.66,2.59
10,19:00:00,54.66,1.48
10,20:00:00,54.66,0.88
10,21:00:00,54.66,0.82
10,22:00:00,36.62,1.21
10,23:00:00,36.62,1.11
11,00:00:00,35.5,0.96
11,01:00:00,35.5,0.95
11,02:00:00,35.5,0.92
11,03:00:00,35.5,0.96
11,04:00:00,35.5,1.0
11,05:00:00,35.5,1.19
11,06:00:00,43.15,1.13
11,07:00:00,43.15,1.2
11,08:00:00,43.15,0.98
11,09:00:00,43.15,1.02
11,10:00:00,43.15,0.92
11,11:00:00,43.15,0.85
11,12:00:00,43.15,0.81
11,13:00:00,43.15,0.76
11,14:00:00,43.15,0.76
11,15:00:00,43.15,0.79
11,16:00:00,43.15,1.05
11,17:00:00,43.15,1.88
11,18:00:00,43.15,1.3
11,19:00:00,43.15,0.79
11,20:00:00,43.15,0.92
11,21:00:00,43.15,0.83
11,22:00:00,35.5,0.99
11,23:00:00,35.5,1.04
12,00:00:00,39.07,0.88
12,01:00:00,39.07,0.78
12,02:00:00,39.07,0.77
12,03:00:00,39.07,0.89
12,04:00:00,39.07,0.89
12,05:00:00,39.07,1.72
12,06:00:00,60.38,2.45
12,07:00:00,60.38,2.44
12,08:00:00,60.38,1.09
12,09:00:00,60.38,0.58
12,10:00:00,60.38,0.52
12,11:00:00,60.38,0.48
12,12:00:00,60.38,0.45
12,13:00:00,60.38,0.44
12,14:00:00,60.38,0.43
12,15:00:00,60.38,0.42
12,16:00:00,60.38,0.61
12,17:00:00,60.38,1.54
12,18:00:00,60.38,1.08
12,19:00:00,60.38,1.28
12,20:00:00,60.38,1.28
12,21:00:00,60.38,0.89
12,22:00:00,39.07,1.14
12,23:00:00,39.07,0.92
